dataset,n_samples,n_features,n_over_p,positive_rate,imbalance_ratio,feature_prevalence_mean,feature_prevalence_std,feature_prevalence_min,feature_prevalence_max,feature_sparsity,signal_source,folds,unary_signal,unary_signal_std,horn_signal,horn_signal_std,antihorn_signal,antihorn_signal_std,square2cnf_signal,square2cnf_signal_std,affine_signal,affine_signal_std,interaction_advantage_horn,interaction_advantage_antihorn,interaction_advantage_square2cnf,interaction_advantage_affine
pendigits,7494,216,34.69444444444444,0.10408326661329063,8.607692307692307,0.5,0.23564984379412057,0.09100613824392847,0.9089938617560716,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.2393165751784005,0.0018942173935421924,0.24045580714932271,0.0023645912448972423,0.24045580714932271,0.0023645912448972423,0.24045580714932271,0.0023645912448972423,0.2393165751784005,0.0018942173935421924,0.001139231970922222,0.001139231970922222,0.001139231970922222,0.0
primary-tumor,336,31,10.838709677419354,0.24404761904761904,3.097560975609756,0.4838709677419355,0.3103201661301853,0.020833333333333332,0.9791666666666666,0.5161290322580645,training_fold_only_same_boolean_candidate_semantics,10,0.15197218239607543,0.023446742865319847,0.15197218239607543,0.023446742865319847,0.15197218239607543,0.023446742865319847,0.15197218239607543,0.023446742865319847,0.1549714722920102,0.023793394284673978,0.0,0.0,0.0,0.002999289895934759
segment,2310,234,9.871794871794872,0.14285714285714285,6.000000000000001,0.5,0.2632362926033608,0.0004329004329004329,0.9995670995670995,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.4772870675393662,0.006934397382548688,0.47865804970758397,0.005687048293768459,0.47865804970758397,0.005687048293768459,0.47865804970758397,0.005687048293768459,0.4772870675393662,0.006934397382548688,0.001370982168217738,0.001370982168217738,0.001370982168217738,0.0
seismic_bumps-bin,2584,90,28.711111111111112,0.06578947368421052,14.200000000000001,0.8081785345717235,0.22490510413920986,0.0046439628482972135,0.9996130030959752,0.1918214654282766,training_fold_only_same_boolean_candidate_semantics,10,0.03478865848599969,0.00439822025802056,0.030457304197070913,0.005642872789617822,0.035564055564357114,0.0038968721881065004,0.03667100251715514,0.004475039564411687,0.03417706241155383,0.0036194503591652355,-0.004331354288928779,0.0007753970783574218,0.0018823440311554474,-0.0006115960744458651
soybean,630,50,12.6,0.14603174603174604,5.8478260869565215,0.31999999999999995,0.27960793917066507,0.0015873015873015873,0.9904761904761905,0.6799999999999999,training_fold_only_same_boolean_candidate_semantics,10,0.07226333881818073,0.0038996044807600378,0.10738601675352928,0.01258768398119846,0.10738601675352928,0.01258768398119846,0.12672491074028397,0.020059449068825126,0.10384739153685522,0.016801411044053135,0.035122677935348554,0.035122677935348554,0.05446157192210324,0.031584052718674496
splice-1,3190,287,11.114982578397212,0.5188087774294671,1.0781758957654723,0.20905923344947736,0.10274929202553841,0.00031347962382445143,0.5711598746081504,0.7909407665505226,training_fold_only_same_boolean_candidate_semantics,10,0.3545896021102445,0.012625522452062998,0.3876931282790594,0.007140258095001312,0.3502196947988096,0.006078515343265426,0.6839554783823494,0.005546415634152634,0.32636384017160763,0.06007876806062937,0.0331035261688149,-0.004369907311434884,0.3293658762721049,-0.02822576193863685
taiwan_binarised,30000,198,151.5151515151515,0.2212,3.520795660036166,0.3157979797979798,0.28559510439559205,3.3333333333333335e-05,0.9892,0.6842020202020203,training_fold_only_same_boolean_candidate_semantics,10,0.08911181765331429,0.0024455114421395347,0.08904956684105014,0.0025028023154232077,0.09958438471234982,0.001800279629022113,0.09958438471234983,0.0018002796290221188,0.0891358495091078,0.00242362575589133,-6.225081226414464e-05,0.010472567059035529,0.010472567059035542,2.403185579351319e-05
tic-tac-toe,958,27,35.48148148148148,0.6534446764091858,1.8855421686746987,0.33333333333333326,0.08299930536994193,0.16701461377870563,0.4780793319415449,0.6666666666666667,training_fold_only_same_boolean_candidate_semantics,10,0.07890343242981523,0.005384203461170442,0.07890343242981523,0.005384203461170457,0.08215639767902268,0.005303486924583504,0.1076241164475596,0.008120016117420277,0.10919580214693865,0.009012866104886443,0.0,0.003252965249207443,0.028720684017744372,0.030292369717123416
titanic-un,887,333,2.6636636636636637,0.3855693348365276,1.5935672514619883,0.5868721032193412,0.30775017868899157,0.007891770011273957,0.9988726042841037,0.41312789678065887,training_fold_only_same_boolean_candidate_semantics,10,0.22206386660846195,0.017650943831246317,0.22194664309721487,0.04613917679059219,0.23863741069757713,0.01463119478058505,0.24501279556750116,0.01368369298146832,0.22595713117010371,0.01869198999301225,-0.00011722351124707209,0.016573544089115183,0.022948928959039216,0.0038932645616417683
vehicle,846,252,3.357142857142857,0.2576832151300236,2.8807339449541285,0.5,0.257152263690347,0.0508274231678487,0.9491725768321513,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.2155003312673756,0.01306884444187913,0.2155003312673756,0.01306884444187913,0.2155003312673756,0.01306884444187913,0.2155003312673756,0.01306884444187913,0.2155003312673756,0.01306884444187913,0.0,0.0,0.0,0.0
vote,435,48,9.0625,0.6137931034482759,1.5892857142857144,0.3333333333333333,0.21336834169088542,0.016091954022988506,0.6252873563218391,0.6666666666666667,training_fold_only_same_boolean_candidate_semantics,10,0.7337990488162569,0.042854086483490005,0.7337990488162569,0.042854086483490005,0.7337990488162569,0.042854086483490005,0.745001852477167,0.04114612997567942,0.7112665331855123,0.031504303159562826,0.0,0.0,0.011202803660910088,-0.022532515630744654
wine1-un,178,1276,0.13949843260188088,0.33146067415730335,2.016949152542373,0.01018808777429467,0.008904506952185151,0.0056179775280898875,0.08426966292134831,0.9898119122257053,training_fold_only_same_boolean_candidate_semantics,10,0.0601807698285988,0.010375584371179187,0.0601807698285988,0.010375584371179187,0.10788551683921783,0.011233864618464045,0.10788551683921783,0.011233864618464045,0.15258968553753266,0.013230163406461564,0.0,0.04770474701061903,0.04770474701061903,0.09240891570893386
wine2-un,178,1276,0.13949843260188088,0.398876404494382,1.507042253521127,0.01018808777429467,0.008904506952185151,0.0056179775280898875,0.08426966292134831,0.9898119122257053,training_fold_only_same_boolean_candidate_semantics,10,0.059976409122527406,0.012719217453139692,0.05997640912252742,0.012719217453139694,0.1102565451880971,0.018525703789117304,0.11025654518809713,0.0185257037891173,0.15239229069356824,0.020396535709882875,1.3877787807814457e-17,0.0502801360655697,0.050280136065569726,0.09241588157104083
wine3-un,178,1276,0.13949843260188088,0.2696629213483146,2.7083333333333335,0.01018808777429467,0.008904506952185151,0.0056179775280898875,0.08426966292134831,0.9898119122257053,training_fold_only_same_boolean_candidate_semantics,10,0.06589416018285729,0.01944126030578486,0.0658941601828573,0.01944126030578485,0.1150299195556181,0.021716949130300367,0.1150299195556181,0.021716949130300367,0.16441982650941916,0.02521573759378706,1.3877787807814457e-17,0.04913575937276081,0.04913575937276081,0.09852566632656187
winequality-red-bin,1599,39,41.0,0.9937460913070669,158.90000000000023,0.7056012571960038,0.31059878923504064,0.0006253908692933083,0.9987492182614134,0.29439874280399614,training_fold_only_same_boolean_candidate_semantics,10,0.009323771763742373,0.002267904562774504,0.013043283881702492,0.0033749977904024057,0.009367092445956503,0.002699485410212141,0.014134688986570826,0.0035138678028463514,0.013386472612657513,0.0033570512827354616,0.0037195121179601186,4.3320682214130143e-05,0.004810917222828453,0.00406270084891514
yeast,1484,89,16.674157303370787,0.3119946091644205,2.2051835853131747,0.4943820224719101,0.2758123830560522,0.0026954177897574125,0.9905660377358491,0.5056179775280899,training_fold_only_same_boolean_candidate_semantics,10,0.08340001715499389,0.006893174897024575,0.08340001715499389,0.006893174897024575,0.08340001715499389,0.006893174897024575,0.08340001715499389,0.006893174897024575,0.08340001715499389,0.006893174897024575,0.0,0.0,0.0,0.0
