dataset,run,depth,method,search_strategy,candidate_beam_width,tree_beam_width,lookahead_depth,node_budget,total_fit_time
"horn_chain__noise_10",2,4,unary,Greedy,8,8,2,18446744073709551615,0.00040137
"horn_chain__noise_10",2,4,horn,Greedy,8,8,2,18446744073709551615,0.001177225
"horn_chain__noise_10",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001035363
"horn_chain__noise_10",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.023543556
"horn_chain__noise_10",2,4,affine,Greedy,8,8,2,18446744073709551615,0.002496356
"horn_chain__noise_10",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000417197
"horn_chain__noise_10",3,4,horn,Greedy,8,8,2,18446744073709551615,0.001150264
"horn_chain__noise_10",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001096963
"horn_chain__noise_10",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.025108497
"horn_chain__noise_10",3,4,affine,Greedy,8,8,2,18446744073709551615,0.002684719
"horn_chain__noise_10",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000394283
"horn_chain__noise_10",4,4,horn,Greedy,8,8,2,18446744073709551615,0.001008625
"horn_chain__noise_10",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001108231
"horn_chain__noise_10",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.025249857
"horn_chain__noise_10",4,4,affine,Greedy,8,8,2,18446744073709551615,0.00256669
"horn_simple__noise_00",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000139496
"horn_simple__noise_00",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000244599
"horn_simple__noise_00",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00024586
"horn_simple__noise_00",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.002936152
"horn_simple__noise_00",0,4,affine,Greedy,8,8,2,18446744073709551615,0.001123752
"horn_simple__noise_00",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000123126
"horn_simple__noise_00",1,4,horn,Greedy,8,8,2,18446744073709551615,0.00024667
"horn_simple__noise_00",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000258116
"horn_simple__noise_00",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.002953407
"horn_simple__noise_00",1,4,affine,Greedy,8,8,2,18446744073709551615,0.001064506
"horn_simple__noise_00",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000125507
"horn_simple__noise_00",2,4,horn,Greedy,8,8,2,18446744073709551615,0.00024624
"horn_simple__noise_00",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000241777
"horn_simple__noise_00",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.002899935
"horn_simple__noise_00",2,4,affine,Greedy,8,8,2,18446744073709551615,0.001077073
"horn_simple__noise_00",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000121062
"horn_simple__noise_00",3,4,horn,Greedy,8,8,2,18446744073709551615,0.000244467
"horn_simple__noise_00",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000244644
"horn_simple__noise_00",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.002886377
"horn_simple__noise_00",3,4,affine,Greedy,8,8,2,18446744073709551615,0.001078646
"horn_simple__noise_00",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000123338
"horn_simple__noise_00",4,4,horn,Greedy,8,8,2,18446744073709551615,0.00024371
"horn_simple__noise_00",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000248925
"horn_simple__noise_00",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.00288755
"horn_simple__noise_00",4,4,affine,Greedy,8,8,2,18446744073709551615,0.001065539
"horn_simple__noise_05",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000386945
"horn_simple__noise_05",0,4,horn,Greedy,8,8,2,18446744073709551615,0.000940076
"horn_simple__noise_05",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000984247
"horn_simple__noise_05",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.02109221
"horn_simple__noise_05",0,4,affine,Greedy,8,8,2,18446744073709551615,0.002558844
"horn_simple__noise_05",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000366927
"horn_simple__noise_05",1,4,horn,Greedy,8,8,2,18446744073709551615,0.0010572
"horn_simple__noise_05",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001091181
"horn_simple__noise_05",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.022345471
"horn_simple__noise_05",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002538858
"horn_simple__noise_05",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000372415
"horn_simple__noise_05",2,4,horn,Greedy,8,8,2,18446744073709551615,0.000946521
"horn_simple__noise_05",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000985401
"horn_simple__noise_05",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.017817145
"horn_simple__noise_05",2,4,affine,Greedy,8,8,2,18446744073709551615,0.002491069
"horn_simple__noise_05",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000352776
"horn_simple__noise_05",3,4,horn,Greedy,8,8,2,18446744073709551615,0.001081659
"horn_simple__noise_05",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00115122
"horn_simple__noise_05",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.021597308
"horn_simple__noise_05",3,4,affine,Greedy,8,8,2,18446744073709551615,0.002543481
"horn_simple__noise_05",4,4,unary,Greedy,8,8,2,18446744073709551615,0.000370327
"horn_simple__noise_05",4,4,horn,Greedy,8,8,2,18446744073709551615,0.00095639
"horn_simple__noise_05",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001030566
"horn_simple__noise_05",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.019663612
"horn_simple__noise_05",4,4,affine,Greedy,8,8,2,18446744073709551615,0.002495791
"horn_simple__noise_10",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000401143
"horn_simple__noise_10",0,4,horn,Greedy,8,8,2,18446744073709551615,0.00115619
"horn_simple__noise_10",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001291417
"horn_simple__noise_10",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.026513951
"horn_simple__noise_10",0,4,affine,Greedy,8,8,2,18446744073709551615,0.002618907
"horn_simple__noise_10",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000430657
"horn_simple__noise_10",1,4,horn,Greedy,8,8,2,18446744073709551615,0.001201817
"horn_simple__noise_10",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001197375
"horn_simple__noise_10",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.027951126
"horn_simple__noise_10",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002512538
"horn_simple__noise_10",2,4,unary,Greedy,8,8,2,18446744073709551615,0.000399186
"horn_simple__noise_10",2,4,horn,Greedy,8,8,2,18446744073709551615,0.001177057
"horn_simple__noise_10",2,4,antihorn,Greedy,8,8,2,18446744073709551615,0.000993582
"horn_simple__noise_10",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.022179212
