dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"horn_simple__noise_05",1,4,antihorn,1,"{""AntiHorn"": 10}","antihorn","StructuralAntiHorn"
"horn_simple__noise_05",1,4,square2cnf,1,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"horn_simple__noise_05",1,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_05",2,4,unary,1,"{""Unary"": 13}","uncommitted","StructuralHorn"
"horn_simple__noise_05",2,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"horn_simple__noise_05",2,4,antihorn,1,"{""AntiHorn"": 11}","antihorn","StructuralAntiHorn"
"horn_simple__noise_05",2,4,square2cnf,1,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"horn_simple__noise_05",2,4,affine,1,"{""Affine"": 14}","affine_gf2","Gf2Gaussian"
"horn_simple__noise_05",3,4,unary,1,"{""Unary"": 12}","uncommitted","StructuralHorn"
"horn_simple__noise_05",3,4,horn,1,"{""Horn"": 11}","horn","StructuralHorn"
"horn_simple__noise_05",3,4,antihorn,1,"{""AntiHorn"": 12}","antihorn","StructuralAntiHorn"
"horn_simple__noise_05",3,4,square2cnf,1,"{""Square2Cnf"": 11}","two_sat","TwoSat"
